Cleaned_Sentence,Sentiment
2008 avc systemhaus net sale eur 10 million usd 7.1 .,1
company establish 3g base station 17000 foot foot mount everest enable mountain climber 29035foot summit surf internet even send video exploit .,2
offer customer solution base renewable raw material .,1
survey conduct taloustutkimus sampo life show company badly prepare lose key staff member .,1
antti orkola president kemira growhow industrial solution unit tell thomson financial news company put open mine price phosphate quite depress long time .,1
pretax profit group life insurance business increase eur36m eur27m .,2
make available follow brandnew market analyse cement pakistan cement malaysia cement taiwan cement philippine analyse give clear overview actual situation future outlook cement industry asian country .,1
company serve approximately 3000 customer 100 country .,1
rt vmarkets still act weak $ spy $ qqq $ xlf $ smh $ iwm,0
operating profit total eur 30.2 mn eur 43.8 mn year earlier .,1
one installed elevator doubledeck elevator enables efficient use building core space .,2
helsinki afx outokumpu say agree sell hitura nickel mine finland canadian group belvedere resource ltd 10 mln eur worth belvedere share .,1
go long $ ilmn,2
social networking locationbased service trend comprise significant share internet traffic today appeal mid user .,1
total 30 % order value book fourth quarter 2009 remainder book second quarter 2010 .,1
johnson matthey share price slump company post fullyear result,0
previous share subscription 2004 stock option .,1
affectogenimap build highly customise solution customer finland baltic country .,1
close transaction schedule take place january 10 2008 .,1
however offering probably make current valuation partly derive deal company merge stock market shell .,1
operate result 12month period decrease profit eur0 .4 turnover decrease eur5 .6 compare 2004 .,1
administrator indicate need 900 job cut irish insurer next 15 month .,1
net sale 2008 expect level 2007 .,1
technical indicator stock bullish sp give nok positive 4 star 5 buy ranking .,2
revenue quarter total 27.4 billion 2 percent 28.1 billion fourth quarter 2008 .,0
nviro operate process facility independently well partnership municipality .,1
number bodily injury case quadruple 20002006 .,0
accord ringman finnish paper company acquire knowhow capacity paper recycle turn successful strategy .,2
company also say poland profitability program launch oborniki steel frame sandwich panel plant .,2
u.s. energy executive say high steel price threaten energy exploration .,0
tesco sale rise show tentative recovery continue,2
finland launch tiein sale 3g mobile phone cause dramatic rush mobile retail outlet first day .,1
$ nuan hold well big gain ! maybe finally move ! ! still undervalued major upside,2
company split two part come month essent own operate production supply enexis owning operate grid .,1
official disclose contract value .,1
london lead share today jump almost 100 point 1.7 % market open .,2
third quarter fiscal 2008 efore swung net loss eur 400000 versus net profit eur 200000 corresponding period fiscal 2007 .,1
group operate loss eur 0.8 mn profit eur 2.5 mn 2004 .,1
move trigger weak demand forestry equipment uncertain market situation .,0
combine company proforma net sale 140 mln euro $ 188.9 mln operating profit 13 mln euro $ 17.5 mln 2006 .,1
manage director kari inkinen say sponda lease operation develop highly favourably .,2
17 march 2011 goldman sachs estimate negative prospect norwegian mobile operation norway telenor asa osl tel sweden teliasonera ab sto tlsn short term .,0
$ tsla steam stock relentless moment,2
marathon estimate value remain stake protalix $ 27 million .,1
whitbread share price climb q4 sale growth,2
incap contract manufacture subsidiary incap corporation finland .,1
operating profit total eur 377 mn slightly eur 37.2 mn correspond period 2006 .,2
go market yield guidance 7.25 % area give u flexibility go 18th .,1
rt think short close might play $ spy high beta reverse .. look worth shot,0
vdw combine lxe device enhance productivity enable worker use single device perform voice scan keyboard function .,2
thus method cut work cost fasten plan building process .,2
talentum net sale september small expect .,0
copyright afx news afx financial news logo register trademark afx news limit,1
$ lnkd daily phase 2 retest price experience early rejection . retest ?,0
rb reportedly appoint howard davy next chairman,1
tesco asda sale fall march discounter continueskantar,0
new version important u introduce bim process base detailed building information model .,1
sampo plc jarmo salonen head investor relation group communication tel . 358 10 516 0030 distribution nasdaq omx helsinki principal medium financial supervisory authority announcement distribute thomson reuters behalf thomson reuters client .,1
. see $ 150share year 36 % today grow service business . $ aapl,2
pharmaceutical market poland global research data service publish recently market analysis pharmaceutical market poland .,1
altogether finnair cancel 500 flight strike .,0
employer together health personnel support quit pay part cost nicotine treatment .,1
pretax loss total eur 117mn compare loss eur 65mn corresponding period .,1
order include 48 ship crane deliver 12 container feeder build wenchong shipyard china .,1
copper lead nickel also drop ... hbos hbos plummet 20 % 70.3 penny say year ? ?,1
$ goog test 200 day consolidation,2
join technopolis kone hold various position within group recently director service business business development kone middle eastern operation .,1
succeed increase market share sell apartment comment mr kari kauniskangas head yit international construction service .,2
profitability ebit % 13.9 % compare 13.1 % previousyear period .,2
finnish geosentric net sale decrease eur 939000 januarymarch 2009 .,1
plant schedule completion late february 2007 hand area january two supplier nokia aspocomp group oyj perlos announce plan establish plant within nokia complex together invest r 365 crore .,1
upmkymmene upgrade inline underperform goldman sachs .,2
slump weir lead ftse record high,0
jan. 6 ford struggle face slow truck suv sale surfeit uptodate gottahave car .,1
royal mail breach competition law delivery service change ofcom claim,0
cooperation involve arena partner buy 35 % share new joint venture company operate alma medium home sale vehicle consumer advertising marketplace business .,1
efore plant saarijarvi central finland one large employer region .,1
however shortterm rental become popular .,1
emsa deputy chairman board juri lember tell bns wednesday first time hear strike swedish side inform estonian union yet .,1
tesco close new chairman dixons carphones john allan frame,2
device offer multimedia performance along host productivity application include live stock price .,1
sale climb 19.2 pct 1.002 bln eur surpass 953 mln eur consensus figure .,2
$ fb turn back early trading ....,0
utah capital want next u.s. headquarters amer sport corp. skiequipment company .,1
old mutual firstquarter sale 18 % buoyed emerging market,2
dividend payable february 1 2010 shareholder record january 19 2010 .,1
sale finland decrease 10.5 % january sale outside finland drop 17 % .,0
furthermore bunge also sign license agreement sunnuntai carlshamn mejeri brand .,2
kesko corporation stock exchange release 28.02.2008 09.30 1 1 kesko corporation aspo plc today sign agreement aspo acquire share capital kaukotelko ltd subsidiary wholly own kesko .,2
$ lulu 2013 revenue range $ 12 million $ 17 million good,0
mobile communication wireless broadband provider nokia inc nyse nok today set new financial target forecast nokia mobile device industry also nokia siemens network mobile fix infrastructure relate service market .,1
poyry plc additional information heikki malinen president ceo poyry plc tel . 358 10 33 21307 poyry global expert consult engineering .,1
danish company flsmidth acknowledge violated patent hold finnish metso .,1
amanda capital investment 22 private equity fund 200 unquoted company mainly europe .,1
net interest income eur 39.3 mn eur 32.7 mn .,2
jeder betatester erhlt kostenlos sechs monate lang update und hat laut eigener aussage die mglichkeit die finale version zu beeinflussen .,1
jp morgan expect scala low nobel biocare growth forecast 2007 current guidance 2325 pct well operate margin target current 3435 pct .,1
aviva promise high dividend boost flagging share price,2
addition mids always online enable full internet browsing .,1
fiskars strong portfolio international brand include fiskars iittala gerber silva buster .,2
model x recall add reliability issue $ tsla,0
name buyer disclose .,1
net sale vegetable oil business rise eur 10.6 mn eur 10.1 mn .,2
agreement benefon forthcoming range twig integrate gps navigation mobile phone device use jointly develop webbased track location technology consumer commercial application .,1
follow increase huhtamaki register share capital eur360 .62 number share outstanding 106063320 .,1
three year turnaround program expect ensure salomon future competitiveness company say .,2
autumn plan expand service st. petersburg moscow launch service yekaterinburg russia fly three time week .,2
company profit total ls 578100 h1 2007 30.9 % yearonyear .,0
federal secretary transport communication mexico award poyry mexican partner sintra consulting contract connection buenavistacuautitlan suburban railway .,2
fda approves astrazeneca drug advance lung cancer,2
order include metso fourth quarter 2007 order backlog .,1
lieksaare oy earlier regard control saarelainen oy individual shareholder shareholder agreement .,1
ragutis control finnish brewery report 5.4percent rise beer sale 10.44 million litre hold 11.09percent market share .,2
$ mcp roll new intraday low . bottom picker continue get destroy,0
company annual turnover eur32 .8 .,1
has80 branch finland annual revenue finland ?,1
portfolio comprise 118000 m2 leasable space vacancy rate roughly 5 % let around 140 tenant two large swedish government ericsson .,1
wpp boost sale despite cautious client,2
mediumterm operative target company remain unchanged .,1
adp news feb 13 2009 finnish retailer kesko oyj hel kesbv say today total sale exclude value add tax vat stand eur 661.3 million usd 853.1 january 2009 15.2 % yearonyea,0
consumer well receive pack fresh meat .,2
correct chapter entirety .,1
major part delivery include different ac cxe amplifier solution product dinh telecom company acquire teleste last spring .,1
tietoenator use nokia intellisync mobile suite wireless email calendar device management capability company extend service customer .,2
provide heat form hot water sawmill need .,1
however net sale decline eur 803.6 million eur 1.2 billion .,0
second quarter 2010 raute net loss narrow eur 123000 eur 1.5 million period 2009 .,2
$ dgi technical alert gilligans island buy setup stochastic buy signal lizard bullish hammer candlestick wid ...,2
record date dividend distribution march 14 2008 .,1
ih move enhance growth .,2
ebrd use fund provide 21.6 million loan b portion 10 million euro syndicate two finnish commercial bank nordea bank finland plc 7.7 million euro pohjola bank plc 2.3 million euro .,1
stockholm 3 march 2011 cybercom cybercom group hightech consultancy offer global source endtoend solution .,1
say lose five family month economy many make alternative arrangement save money .,0
milan afx italian ship group grimaldi increase stake finnish company finnlines 35.4 pct 30.5 pct hold june accord news agency ansa .,1
comment deal shane lennon svp marketing product development gypsii say ?,1
external net sale print business fell 43.7 % partly due termination printing contract ilkkayhtyma printing house iprint oy sector player hss medium ab december 2009 fall printing price .,1
group intend relocate warehouse office space loudeac saint marcel morvillars east country already operate hook manufacture distribution unit .,1
firm headquarter vantaa southern finland 16 employee .,1
1.33 pm omx helsinki 25 0.30 pct low 2463.67 omx helsinki 0.37 pct 8537.42 volume 256 mln eur .,1
honor recognize gartner specialist business process model analysis company many large software vendor world .,2
westpac bank corp issue benchmark 3 year frn deal euro .,1
include company brand share data category well distribution channel data .,1
new share subscribe stock option shareholder right commence date enter trade register .,1
$ aapl price momentum weaken go close .,0
acquisition solteq expand solution offer microsoft dynamic business software product .,2
company profit total ls 134700 .,1
leed internationally recognize green build certification system develop u.s. green building council .,1
however market share shrink 47.59 per cent 48 per cent year earlier .,0
talktalk hire bae system investigate cyber attack,0
look like book one way ticket 40 week near 50. lose 10 week $ lulu,1
ftse lead low m glaxosmithkline,0
exercise price option base safran software solution license maintenance sale well result company .,1
fullyear operate result 2008 3.6 million negative .,0
company say production volume far indicate circuit capable target output rate 60000 tonne per day 22 million tonne year .,1
jun . 25 2008 boy genius report deliver newstex nokia nyse nok n78 huh ?,1
come decision base preliminary economic operational environmental finding karvinen say .,1
new majority owner aspocomp thailand co. ltd certain private person belong immediate circle aspocomp present joint venture partner saha pathana interholding plc . .,1
3.8 mln euro $ 5.2 mln base acquisition price pay cash rest subscription offer total 850000 new ixonos share .,1
establish 1987 srv group private finnish construction concern operation finland baltic country russia .,1
business section also include ahlstrom sustainability report .,1
£lemiste city environment knowledgebased economy provide work 3300 people total turnover company amount eek 5.4 bn say £lo prnits chairman supervisory board £lemiste city mainor .,1
jacob support storengy investment develop storage site since 2006 owner engineer .,1
company earlier say consider different strategic option struggle lowcost mobile operator include divestment holding .,1
sainsburys asda tesco morrison cut petrol price oil fall ...,0
barclays sell benchmark index unit bloomberg,2
operating profit fourth quarter fell eur33m eur39m year earlier .,1
finnish forestry company upmkymmene waste management company lassila tikanoja say jan. 30 planning produce ethanol energy commercial industrial waste .,1
ism disclose financial result daily say .,1
contract cover manufacture surfacetreatment installation steel structure .,1
finnish metal industry solution supplier outotec oyj net profit rise 50.4 mln euro $ 72.5 mln first nine month 2007 20.1 mln euro $ 28.9 mln period 2006 .,2
deal know pay sek90m usd12 .8 meur8 .6 cash stock .,1
first nine month 2010 company net profit rise eur41m eur30m correspond period 2009 .,2
$ aapl 50dma turn macd crossover halfahair away weekly . eod break likely .,2
protalix $ 42 million cash sale .,1
bearish outside day tuesday significant . 200 day resistance still intact . opinion $ sd,0
right reserve .,1
operate nokia support nokia netact network service management system .,1
mr priit kasak balti metsamasina owner say rakverebased company wish increase valmet market share 27 % third couple year .,2
shire see baxalta deal closing expect new rule,2
sainsbury cfo rogers replace home retail ceo walden,1
marathon 4.6 percent stake plx say accord bloomberg .,1
simmons elect dcuc chairman portsmouth n.h.gordon a. simmons ceo service credit union elect chairman defense credit union council 20072008 term .,1
sanoma news advertising sale decrease 22 % year .,0
pharmaceutical market czech republic global research data service publish recently market analysis pharmaceutical market czech republic .,1
finnish construction company yit reduce number startup marketfinanced residential unit 2007 2300 previously announce 2700 .,1
cash flow operation recent quarter also reach eight year low .,1
tietoenator 1.13 pct 18.38 extend recent low last week secondquarter report dealer say .,0
maritime administration say ship ignore warning icy condition .,0
synergy pharma soar 67 % today positive phase 3 result $ sgyp,2
operating profit rise eur 1.6 mn eur 1.1 mn correspond period 2006 .,2
make matter difficult company say grapple high oil gas price push cost energy raw material transportation .,0
$ vrtx vertex . monthly low hilower lo long term uptrend intract far,2
financial detail disclose .,1
include software development internet mobile telephone content communication valueadded software financial service security application system integration electronics ebrd inform .,1
yit lodge counter claim neste oil total eur25m primarily base work carry contract additional cost incur due prolongation project .,1
follow berkshire hathaway apple stock ?,1
total amount subscription price record fund invest nonrestricted equity .,1
$ tsla 5th wave 1 hour chart hammer candle develop close 200 sma might good spot call,2
strong growth see new market russia czech republic slovakia .,2
tower engineer create 18 degree westward lean four time inclination lean tower pisa use diagrid structure align geometrically use tekla structure bim build information modeling software .,1
amer buy salomon adidas october say job cut aim boost competitiveness .,1
acando ab acanb s fell 8.9 percent 13.35 kronor low close since dec. 11 .,0
measure suominen corporation aim ensure competitiveness flexible packaging business long term .,2
$ znga short get nervous,2
financial statement release available publishing company internet page .,1
world glass come egypt invite visitor around world attend glass world exhibition 2009 register,1
comparable operating profit total eur 4.7 mn eur 5.1 mn correspond period 2005 represent 7.4 % net sale .,0
raw material come europe u pay euros u dollar sale take place ruble .,1
adpnews may 4 2010 finnish cutlery hand tool maker fiskars oyj abp hel fisa say today net profit decline eur 12.9 million usd 17m first quarter 2010 eur 17 million correspond,1
maximum 666104 new share subscribe exercise b option 2004 stock option plan .,1
inspects company strategic strengths weakness .,1
plan closing date provide .,1
lemminkainen group headquarter helsinki finland operate sector construction industry civil engineering building contract technical building service building material industry .,1
implementation deal subject approval finnish competition authority .,1
microsoft also churn courtship agree use navteq mapping service offer company nokia buy $ 8.1 billion year ago .,2
geosolutions team provide intrigue new technology combine gps mobilebased technology together internetbased social networking .,1
3c expo signature show dongguan support dongguan municipal government every year feature computer accessory software communication network product .,1
pharmaceutical poland brandnew market analysis give clear overview actual situation future outlook pharmaceutical market poland .,1
trade new share right dividend distribution fund start exchange helsinki tomorrow .,1
dualfuel engine vessel operate liquefy natural gas lng low emission .,1
among finnish share trade u stora enso close 0.33 pct low 12.11 eur upmkymmene 0.28 pct 18.10 eur metso 0.13 pct 31.06 eur .,1
addition presentation hold president ceo kai telanne cfo tuomas itkonen participant opportunity discuss member company management .,1
change holding accordance chapter 2 section 9 finnish security market act describe .,1
capman partner able develop business continue focus provide quality restaurant service customer say christopher wynne ceo papa john russia .,2
